"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.459027917E-1,-4.140597006E0,2.263575293E0,4.418203509E0,6.464428739E0
9.559557918E-1,-2.442580783E0,2.530864384E0,5.150747364E0,6.237120636E0
9.660087917E-1,-5.340332222E-1,3.771959295E0,5.542607877E0,6.725575848E0
9.760617918E-1,5.304997498E-1,3.567031344E0,3.616232155E0,5.107081122E0
9.861147917E-1,1.458627121E0,2.293119519E0,1.896117550E-1,2.724324288E0
9.961677918E-1,1.278567962E0,-5.311756879E-1,-1.142187650E0,1.794847145E0
1.006220792E0,1.814940071E0,-6.854603201E-1,-2.123946268E0,2.876631895E0
1.016273792E0,2.223137704E0,-5.988285577E-1,-1.996438083E0,3.047409049E0
1.026326792E0,2.294332817E0,-5.308535063E-1,-1.600155321E0,2.847150430E0
1.036379792E0,1.717363490E0,-6.914753509E-1,-2.883745018E0,3.426873334E0
1.046432792E0,5.415749609E-1,-5.096512100E-1,-3.951408589E0,4.020780725E0
1.056484792E0,-1.252238535E0,-7.462324789E-1,-3.751434399E0,4.024701767E0
1.066538792E0,-2.745151389E0,-5.473163420E-1,-2.384625813E0,3.677207037E0
1.076590792E0,-3.012863819E0,1.962021518E-1,7.017921782E-1,3.099734817E0
1.086643792E0,-3.174232353E0,9.736061373E-1,3.392791919E0,4.747072460E0
1.096696792E0,-2.946585630E0,1.715042730E0,2.630540700E0,4.306214441E0
1.106749792E0,-2.731446100E0,2.995585004E0,1.521166162E0,4.329927691E0
1.116802792E0,-2.369775932E0,7.869443026E-1,-1.912586233E0,3.145330730E0
1.126855792E0,-1.147604365E0,-2.040061674E0,-3.269248438E0,4.020800015E0
1.136908792E0,-2.840501350E-1,-2.766636691E0,-3.000695179E0,4.091348752E0
1.146961792E0,3.647189069E-1,-2.738951586E0,-1.978693245E0,3.398544193E0
1.157014792E0,9.851102418E-1,-2.057199278E0,-5.052386087E-1,2.336188586E0
1.167067792E0,1.067638428E0,-1.264827882E0,9.394779861E-1,1.903223653E0
1.177120792E0,4.435551614E-1,-5.266666076E-1,1.835908917E0,1.960785671E0
1.187173792E0,-8.249947661E-1,-1.540016270E-1,2.015227818E0,2.182997028E0
1.197226792E0,-2.470198937E0,2.672966927E-2,1.834089702E0,3.076764908E0
1.207279792E0,-4.061211113E0,5.556685048E-1,1.605653604E0,4.402309245E0
1.217332792E0,-5.646043367E0,7.931666172E-1,1.107202443E0,5.807995888E0
1.227385792E0,-6.299612389E0,7.756781799E-1,6.212292409E-1,6.377516653E0
1.237438792E0,-5.577813962E0,8.754790413E-1,1.585149612E0,5.864398643E0
1.247491792E0,-4.352299542E0,1.650931519E0,9.102457085E-1,4.743061609E0
1.257544792E0,-3.586062861E0,1.820312492E0,-1.867680494E0,4.434141951E0
1.267597792E0,-2.805652530E0,5.279679054E-1,-2.642822776E0,3.890366108E0
1.277650792E0,-2.482098021E0,-1.091532490E0,-2.969194181E0,4.020990904E0
1.287702792E0,-6.568516481E-1,-2.131600712E0,-3.358352988E0,4.031589075E0
1.297755792E0,6.618931174E-2,-2.527862424E0,-1.945910684E0,3.190773864E0
1.307808792E0,-2.223286808E0,1.411757594E0,-1.035158461E0,2.829773272E0
1.317861792E0,-1.257505707E0,1.349563100E0,-1.507445671E0,2.382232905E0
1.327914792E0,-1.321184224E-1,2.596507566E0,-1.757422180E0,3.138126756E0
1.337967792E0,8.523199743E-1,3.217793525E0,-3.235495386E0,4.642098114E0
1.348020792E0,1.564525459E0,2.589705500E0,-2.413663963E0,3.870411892E0
1.358073792E0,1.728611194E0,2.804564947E0,-8.739020473E-1,3.408428669E0
1.368126792E0,2.097469345E0,2.680595205E0,-9.157441378E-1,3.524706460E0
1.378179792E0,2.238605051E0,2.653962307E0,-1.059507290E0,3.630072203E0
1.388232792E0,2.440419068E0,2.657606292E0,7.485850330E-1,3.684955357E0
1.398285792E0,2.453691078E0,2.553107777E0,3.732477726E0,5.144934324E0
1.408338792E0,1.627002958E0,2.368527551E0,4.564500260E0,5.393674445E0
1.418391792E0,7.185219392E-1,2.144932364E0,2.074606147E0,3.069364639E0
1.428444792E0,-2.885577536E-1,1.765879008E0,-1.402468708E0,2.273436325E0
1.438497792E0,-1.239350979E0,3.513108321E0,-1.947624503E0,4.203708140E0
1.448550792E0,-2.348539722E0,4.474799294E0,-2.673591410E0,5.717303436E0
1.458603792E0,-1.780112300E0,9.951464027E-1,-2.618455675E0,3.318949575E0
1.468656792E0,2.649461997E0,-5.576831045E0,-1.557371975E0,6.367582025E0
1.478709792E0,4.909906983E0,-1.064759259E1,-1.530743755E0,1.182461801E1
1.488762792E0,5.753677159E0,-1.554993094E1,-7.818264540E-1,1.659868687E1
1.498815792E0,5.865796934E0,-1.995942385E1,-3.756801704E-1,2.080690534E1
1.508867792E0,3.378028284E0,-2.211616935E1,6.310292474E-1,2.238155981E1
1.518920792E0,-2.133254889E0,-1.819383136E1,1.508500947E0,1.838047472E1
1.528973792E0,-5.320472739E0,-8.961702325E0,2.080338757E0,1.062766899E1
1.539026792E0,-6.007940408E0,-2.448487056E0,2.210703599E0,6.854024162E0
1.549079792E0,-6.276764393E0,1.287897195E0,2.027885724E0,6.720771603E0
1.559132792E0,-5.843758779E0,3.791788373E0,1.685173398E0,7.167076469E0
1.569185792E0,-4.644322940E0,4.971292807E0,1.282846370E0,6.923090535E0
1.579238792E0,-2.581479637E0,4.536940579E0,9.583903666E-1,5.307200677E0
1.589291792E0,-4.267640045E-1,2.641403072E0,6.824517815E-1,2.761318189E0
1.599344792E0,6.577702457E-1,3.780306780E-1,3.641213945E-1,8.415184369E-1
1.609397792E0,1.123513836E0,-1.104574705E0,1.645881571E-2,1.575639398E0
1.619450792E0,1.465202315E0,-1.397468753E0,-4.724081739E-1,2.079159980E0
1.629503792E0,1.582250708E0,-1.048696373E0,-9.213948870E-1,2.110035527E0
1.639556792E0,1.464463519E0,-3.651200259E-1,-1.208320098E0,1.933391707E0
1.649609792E0,1.265141585E0,3.480368006E-1,-1.213282045E0,1.787111123E0
1.659662792E0,1.169010144E0,8.360676384E-1,-9.809628848E-1,1.740081031E0
1.669715792E0,1.200429280E0,1.011212212E0,-6.671439902E-1,1.705479903E0
1.679768792E0,1.232309177E0,9.042970437E-1,-3.052889764E-1,1.558698306E0
1.689821792E0,1.124953128E0,5.762512887E-1,3.702449642E-2,1.264498281E0
1.699874792E0,8.075431663E-1,1.755275667E-1,2.461970881E-1,8.622928147E-1
1.709927792E0,4.766357839E-1,-1.687974215E-2,3.408600743E-1,5.862185484E-1
1.719979792E0,3.033766446E-1,7.075130939E-4,3.316915671E-1,4.495077137E-1
1.730032792E0,7.802846164E-2,5.355464816E-3,2.105068532E-1,2.245668210E-1
1.740085792E0,-8.451653212E-2,4.543286562E-4,8.563948989E-2,1.203219550E-1
1.750138792E0,-1.992064512E-1,-6.559172630E-2,-9.267763719E-3,2.099318370E-1
1.760191792E0,-2.765399712E-1,-1.260782486E-1,-5.570985876E-2,3.089881370E-1
1.770244792E0,-3.443054000E-1,-1.597529483E-1,1.572316289E-2,3.798873922E-1
1.780297792E0,-4.279784712E-1,-1.056317049E-1,1.291393391E-1,4.593480138E-1
1.790350792E0,-4.577788058E-1,-1.123250127E-3,2.310609126E-1,5.127883014E-1
1.800403792E0,-4.095267051E-1,8.100030899E-2,2.601064447E-1,4.918623129E-1
1.810457042E0,-3.223675239E-1,9.511080980E-2,1.974441735E-1,3.898090407E-1
1.820510042E0,-2.063403466E-1,8.664404154E-2,8.935130239E-2,2.409713340E-1
1.830563042E0,-1.321128675E-1,7.454849124E-2,-3.643517017E-2,1.560090028E-1
1.840616042E0,-6.484182090E-2,4.403771996E-2,-1.444051035E-1,1.643064711E-1
1.850669042E0,-4.430230647E-2,6.491578817E-3,-2.086812063E-1,2.134307401E-1
1.860722042E0,-1.961565435E-2,4.116673708E-2,-2.312234652E-1,2.356772475E-1
1.870775042E0,-2.635778636E-2,6.415155709E-2,-2.062394822E-1,2.175887846E-1
1.880828042E0,-3.353992134E-2,8.502202392E-2,-1.380129274E-1,1.655331961E-1
1.890881042E0,-3.459972918E-2,1.244392741E-1,-6.097586118E-2,1.428297232E-1
1.900934042E0,-2.430249006E-2,1.954958081E-1,4.412316240E-2,2.018813401E-1
