"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.147716292E0,-1.695733470E0,1.701283354E0,2.355508726E0,3.364267886E0
1.157768292E0,-3.043512585E0,2.147988411E0,4.238501616E0,5.642846712E0
1.167820292E0,-1.213467987E0,-8.671260014E-1,5.042813026E0,5.258742746E0
1.177872292E0,3.089892699E0,-4.195524873E0,1.553523923E0,5.437214584E0
1.187925292E0,4.716629609E0,-4.381388855E0,4.234149752E-1,6.451545815E0
1.197977292E0,3.607361929E0,-3.535578001E0,1.121274353E0,5.174034022E0
1.208029292E0,2.018423175E0,-3.317914521E0,6.544273925E-1,3.938383437E0
1.218081292E0,1.630428842E0,-4.041500442E0,-3.198335599E-4,4.357983953E0
1.228133292E0,1.745645303E0,-3.896811675E0,-7.064915854E-1,4.327995970E0
1.238185292E0,1.215469489E0,-3.919422858E0,-1.317074801E0,4.309747980E0
1.248237292E0,9.187490219E-1,-3.026850359E0,-1.464755588E0,3.485890387E0
1.258289292E0,6.975389135E-1,-2.010077737E0,-1.415884559E0,2.555719493E0
1.268341292E0,7.910195196E-1,-1.030163038E0,-1.404489505E0,1.912992038E0
1.278393292E0,1.029134513E0,-7.050344592E-1,-1.211771125E0,1.739132167E0
1.288445292E0,1.307133365E0,-5.324316698E-1,-8.143124878E-1,1.629474131E0
1.298497292E0,1.479656632E0,7.792177919E-1,-3.017408860E-1,1.699297407E0
1.308549292E0,1.529086069E0,2.051689155E0,-2.825620186E-1,2.574368639E0
1.318602292E0,1.635418856E0,3.578446278E0,-5.534330777E-1,3.973180183E0
1.328654292E0,1.885748683E0,4.675348851E0,-1.148333513E0,5.170454992E0
1.338706625E0,2.748580781E0,5.083316104E0,-1.490691497E0,5.967994643E0
1.348758625E0,2.947487855E0,4.927748592E0,-7.250781298E-1,5.787584050E0
1.358810625E0,1.953815535E0,4.794984637E0,2.175854194E-1,5.182336947E0
1.368862625E0,1.206427354E0,4.109597408E0,8.657329023E-1,4.369639719E0
1.378914625E0,3.348677015E-1,3.133961409E0,1.061845007E0,3.325863093E0
1.388966625E0,-6.018591696E-1,2.083425502E0,9.687140644E-1,2.375142779E0
1.399018625E0,-1.479490571E0,5.397763574E-1,6.551290584E-1,1.705709515E0
1.409070625E0,-2.713743655E0,-2.022664161E0,-5.236859894E-1,3.424882764E0
1.419122625E0,-3.986174964E0,-2.960816583E0,2.022467694E0,5.361567053E0
1.429175625E0,-3.707377383E0,-1.292060997E0,4.623579358E0,6.065604237E0
1.439227625E0,-2.188978854E0,-7.451136142E-1,4.814913118E0,5.341367901E0
1.449279625E0,-7.519607037E-1,-1.187532662E0,5.054300466E0,5.246106358E0
1.459331625E0,1.234019780E0,-8.903613746E-2,5.980704077E0,6.107336041E0
1.469383625E0,2.255634774E0,7.893893158E-1,5.167674469E0,5.693494809E0
1.479435625E0,1.268915963E0,1.502340905E0,3.061116797E0,3.638352919E0
1.489487625E0,6.773285973E-1,2.040355496E0,1.711771213E0,2.748087565E0
1.499539625E0,8.191855574E-1,2.389704412E0,5.129996181E-1,2.577774382E0
1.509591625E0,8.515706536E-1,2.810036187E0,-3.122857547E-1,2.952795005E0
1.519643625E0,8.946956232E-1,3.178104964E0,2.331050992E-1,3.309859424E0
1.529695625E0,9.203651923E-1,4.539170122E0,-4.466184445E-1,4.653021118E0
1.539747625E0,1.673779806E0,4.684413205E0,-1.408955609E0,5.170147176E0
1.549800625E0,1.974298039E0,5.252386590E0,-4.388908009E-1,5.628325042E0
1.559852625E0,1.991926225E0,5.906302936E0,4.131578261E-1,6.246829904E0
1.569904625E0,2.320695865E0,6.179091334E0,8.441555071E-1,6.654276635E0
1.579956625E0,2.551172349E0,6.168071086E0,9.298130503E-1,6.739297707E0
1.590008625E0,2.745629984E0,5.812364493E0,8.924995552E-1,6.489886013E0
1.600060625E0,3.031349791E0,5.434025082E0,1.011679990E0,6.304062702E0
1.610112625E0,3.334701585E0,4.903570356E0,1.029891728E0,6.018796713E0
1.620164625E0,3.745907026E0,4.027815326E0,1.182939966E0,5.626229884E0
1.630216625E0,4.034180605E0,2.985747941E0,1.546966563E0,5.251895797E0
1.640268625E0,3.038711728E0,-4.270860107E0,1.650916901E0,5.495410961E0
1.650320625E0,-2.020807085E0,-1.463869617E1,3.351593606E0,1.515283032E1
1.660372625E0,-5.670142082E0,-1.997062010E1,6.352009873E0,2.171000248E1
1.670425625E0,-4.594211717E0,-2.424337704E1,7.372655398E0,2.575275052E1
1.680477625E0,-8.279093108E-1,-2.407543098E1,6.327743928E0,2.490686961E1
1.690529625E0,3.361321034E0,-1.898309554E1,3.927316892E0,1.967435421E1
1.700581625E0,5.058256692E0,-1.106584159E1,2.654511653E-1,1.217001541E1
1.710633625E0,4.594544424E0,-3.227420965E0,-1.773187150E-1,5.617608608E0
1.720685625E0,3.827005568E0,1.670958817E-1,-6.781089082E-2,3.831251880E0
1.730737625E0,2.548509819E0,2.560018601E0,-3.144760632E0,4.789375426E0
