"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.665719292E0,3.356625720E0,2.913246560E-1,-6.894054365E-1,3.439053087E0
1.675767292E0,3.628884653E0,1.221381024E-1,-3.646043015E-1,3.649199616E0
1.685815292E0,3.613483964E0,7.181199431E-2,1.199597222E-1,3.616187724E0
1.695864292E0,3.196985039E0,3.089931875E-2,4.684069973E-1,3.231264957E0
1.705912292E0,2.453496073E0,-1.968558705E-1,2.373139250E-1,2.472794596E0
1.715960292E0,1.866628287E0,-4.127985147E-1,-2.514285189E-1,1.928190882E0
1.726008292E0,1.679412575E0,-4.884769803E-1,-6.607394618E-1,1.869655849E0
1.736057292E0,1.686826845E0,-5.480188850E-1,-8.569889760E-1,1.969806997E0
1.746105292E0,1.752391820E0,-5.747757438E-1,-9.347037345E-1,2.067586834E0
1.756153292E0,1.628285545E0,-5.737676838E-1,-9.046548933E-1,1.949082771E0
1.766202292E0,1.305281259E0,-6.176519144E-1,-7.467099041E-1,1.625677930E0
1.776250292E0,8.787318474E-1,-7.589779472E-1,-5.667992646E-1,1.292083043E0
1.786298292E0,4.606999286E-1,-8.176480320E-1,-7.116038060E-1,1.177782962E0
1.796346292E0,1.211967006E-2,-8.043625733E-1,-1.004048204E0,1.286568627E0
1.806395292E0,-3.747226158E-1,-9.016462085E-1,-1.245323617E0,1.582470801E0
1.816443292E0,-6.479977942E-1,-9.285495400E-1,-1.245803089E0,1.683487667E0
1.826491292E0,-8.830397835E-1,-7.990307897E-1,-1.087510775E0,1.612727239E0
1.836539292E0,-9.281658165E-1,-6.118929917E-1,-9.266544574E-1,1.447270984E0
1.846588292E0,-9.901638441E-1,-4.176584280E-1,-7.536569810E-1,1.312578320E0
1.856636292E0,-1.211732679E0,-2.578247881E-1,-6.209082288E-1,1.385747717E0
1.866684292E0,-1.461337744E0,-1.653700760E-1,-5.751397330E-1,1.579126650E0
1.876732292E0,-1.580630737E0,-1.348642749E-1,-5.023699647E-1,1.664018474E0
1.886781292E0,-1.612194592E0,-1.118724382E-1,-3.950770658E-1,1.663662446E0
1.896829292E0,-1.532629190E0,-1.945105523E-2,-3.360663807E-1,1.569162576E0
1.906877292E0,-1.552296153E0,-5.485916197E-2,-2.924502450E-1,1.580556871E0
1.916926292E0,-1.662289881E0,-1.463368043E-1,-1.116034663E-1,1.672446544E0
1.926974292E0,-1.697672114E0,-2.393364769E-1,2.152582276E-1,1.727920328E0
1.937022292E0,-1.694164077E0,-3.046984076E-1,6.397614062E-1,1.836389854E0
1.947070292E0,-1.649779032E0,-3.170059195E-1,1.208717124E0,2.069603995E0
1.957119292E0,-1.409342840E0,-1.947754312E-1,1.921134278E0,2.390594408E0
1.967167292E0,-7.069391897E-1,-2.331869602E-3,2.703404608E0,2.794309384E0
1.977215292E0,-2.533060598E-1,-3.137586683E-2,2.602437227E0,2.614924077E0
1.987263292E0,-3.711739406E-1,2.623707059E-1,2.167676863E0,2.214820865E0
1.997312292E0,-2.908440149E-1,6.241078252E-1,2.103033555E0,2.212882950E0
2.007360292E0,-4.209682444E-1,4.917192614E-1,8.566825819E-1,1.073735135E0
2.017408292E0,-5.281883454E-1,-3.999203146E-2,-8.517451930E-1,1.003021518E0
2.027456292E0,-9.538785088E-1,1.195834538E-1,-9.462361979E-1,1.348905984E0
2.037505292E0,-1.044065963E0,3.820149708E-1,-4.509086198E-1,1.199719866E0
2.047553292E0,-1.161867332E0,1.072005129E-1,7.835152030E-2,1.169430035E0
2.057601292E0,-1.315879045E0,-1.355039603E-1,6.340790820E-1,1.466954419E0
2.067650292E0,-1.074087761E0,-1.025695181E-1,8.748568976E-1,1.389085892E0
2.077698292E0,-6.690694052E-1,-7.888887942E-2,8.439754128E-1,1.079894357E0
2.087746292E0,-2.416424726E-1,9.696145356E-2,7.547252673E-1,7.983751231E-1
2.097794292E0,1.123245741E-1,3.303673920E-1,5.534693670E-1,6.542841614E-1
2.107843292E0,4.277458982E-1,5.060352919E-1,1.992158067E-1,6.918997093E-1
2.117891292E0,5.521280158E-1,6.277073711E-1,2.141250372E-3,8.359823410E-1
2.127939292E0,8.024373776E-1,7.025280502E-1,-4.009587801E-1,1.139394291E0
2.137986667E0,8.974540472E-1,7.791332996E-1,-4.486814153E-1,1.270349353E0
2.148035667E0,6.947256719E-1,6.179217634E-1,-1.490408492E-1,9.416391238E-1
2.158083667E0,4.555613954E-1,3.011649352E-1,2.194284618E-1,5.885451156E-1
2.168131667E0,3.453951748E-1,9.909451783E-2,3.385765904E-1,4.937121204E-1
2.178179667E0,3.159844109E-1,7.517268151E-2,3.262331182E-1,4.603532637E-1
2.188228667E0,4.728399177E-1,3.264675915E-2,2.966678417E-1,5.591557984E-1
2.198276667E0,6.690639965E-1,4.927390158E-2,8.559329689E-2,6.763140996E-1
2.208324667E0,9.149530095E-1,2.642456156E-1,-1.037623501E-1,9.579829749E-1
2.218372667E0,1.329049314E0,4.671162245E-1,1.551704854E-1,1.417267626E0
2.228421667E0,1.732545201E0,5.050017965E-1,7.433571106E-1,1.951747801E0
2.238469667E0,1.867322060E0,4.073769763E-1,1.007902104E0,2.160720788E0
2.248517667E0,1.661058458E0,2.409871459E-1,8.105468810E-1,1.863914228E0
2.258566667E0,1.443677983E0,1.778050572E-1,4.956626236E-1,1.536717994E0
2.268614667E0,1.336644554E0,3.688183898E-1,1.195591879E-1,1.391739943E0
2.278662667E0,1.416013636E0,6.542376503E-1,-1.185423571E-1,1.564344531E0
2.288710667E0,1.628014526E0,8.294436201E-1,-1.777898544E-1,1.835760673E0
2.298759667E0,1.803036894E0,7.744169354E-1,-1.390444493E-1,1.967230792E0
2.308807667E0,2.007088932E0,7.075905696E-1,-1.260074973E-1,2.131893123E0
2.318855667E0,2.435769362E0,6.998567498E-1,6.041869462E-2,2.535038910E0
2.328903667E0,3.026719966E0,8.407848796E-1,4.332459354E-1,3.171065279E0
2.338952667E0,3.553285709E0,9.792101088E-1,4.967431891E-1,3.719065146E0
2.349000667E0,3.881119210E0,1.014516766E0,2.370607406E-1,4.018523160E0
2.359048667E0,3.865712382E0,9.350741556E-1,-1.130512369E-1,3.978803397E0
2.369096667E0,3.386699412E0,7.134105957E-1,-3.861764342E-1,3.482501949E0
2.379145667E0,2.773015126E0,4.199046358E-1,-6.973430318E-1,2.890020778E0
2.389193667E0,2.244747258E0,1.575114182E-1,-9.431740111E-1,2.439933875E0
2.399241667E0,1.897483460E0,6.532743216E-2,-1.097341114E0,2.192913285E0
2.409289667E0,1.804612134E0,1.262992734E-1,-1.340656621E0,2.251651979E0
2.419338667E0,1.970404086E0,2.955384520E-1,-1.404704683E0,2.437833154E0
2.429386667E0,2.282269718E0,4.092784908E-1,-1.252908041E0,2.635534578E0
2.439434667E0,2.433616563E0,2.471059647E-1,-1.105276371E0,2.684247900E0
2.449482667E0,2.346976615E0,-1.489279979E-1,-9.100746775E-1,2.521649202E0
2.459531667E0,2.141943559E0,-5.596919739E-1,-7.650046724E-1,2.342308576E0
2.469579667E0,1.726886119E0,-9.250362405E-1,-7.376087129E-1,2.093297477E0
2.479627667E0,1.104191274E0,-1.188702982E0,-8.826886582E-1,1.846995510E0
2.489676667E0,2.439543886E-1,-1.320839238E0,-1.076610981E0,1.721400953E0
2.499724667E0,-4.689963967E-1,-1.347958332E0,-1.284771273E0,1.920308962E0
2.509772667E0,-8.465073303E-1,-1.392053939E0,-1.398274500E0,2.146988684E0
2.519820667E0,-9.015568192E-1,-1.479620672E0,-1.479304630E0,2.278250253E0
2.529869667E0,-6.836086531E-1,-1.542964143E0,-1.506294208E0,2.262074574E0
2.539917667E0,-4.707533388E-1,-1.550005653E0,-1.395805805E0,2.138317113E0
2.549965667E0,-5.880024379E-1,-1.553118126E0,-1.333835260E0,2.130032695E0
2.560013667E0,-1.015730064E0,-1.600672361E0,-1.318693310E0,2.309288119E0
2.570062667E0,-1.358506709E0,-1.642279101E0,-1.206922613E0,2.449343447E0
2.580110667E0,-1.618538529E0,-1.695331766E0,-9.844898522E-1,2.542250388E0
2.590158667E0,-1.836430050E0,-1.736468390E0,-8.008235461E-1,2.651248036E0
2.600206667E0,-1.957783017E0,-1.632719781E0,-8.034220487E-1,2.672858996E0
2.610255667E0,-1.829686748E0,-1.282199083E0,-8.967985743E-1,2.407495746E0
2.620303667E0,-1.348454176E0,-8.594924614E-1,-8.781997508E-1,1.824360370E0
2.630351667E0,-7.101094770E-1,-6.051581687E-1,-6.876729065E-1,1.159036628E0
2.640399667E0,-3.431936981E-1,-5.976208153E-1,-4.215228528E-1,8.078453248E-1
2.650448667E0,-3.558624948E-1,-7.827290449E-1,5.781376004E-2,8.617687066E-1
2.660496667E0,-5.821497405E-1,-1.077420528E0,6.038010299E-1,1.365397011E0
2.670544667E0,-9.608681973E-1,-1.405602815E0,1.106328869E0,2.030504995E0
2.680592667E0,-1.249940287E0,-1.595340285E0,1.496074444E0,2.519067305E0
