"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.013401708E0,3.121692781E0,2.862869581E0,1.753608626E0,4.584335423E0
1.023455708E0,2.463399795E0,2.648484635E0,2.337151392E0,4.306400590E0
1.033508708E0,2.040387071E0,2.471888198E0,2.809179570E0,4.262030094E0
1.043561708E0,2.507989492E0,2.141292180E0,2.497774406E0,4.136909532E0
1.053614708E0,4.419691041E0,1.570565048E0,9.119671288E-1,4.778287090E0
1.063667708E0,6.289036530E0,1.189639998E0,-4.312173901E-1,6.415073829E0
1.073720708E0,7.218074897E0,3.652697146E-1,-1.924691724E0,7.479202191E0
1.083773708E0,6.429483141E0,-9.753550395E-1,-2.490322714E0,6.963567917E0
1.093826708E0,5.187522258E0,-3.124007402E0,-2.964934192E0,6.742450903E0
1.103880708E0,8.139874996E0,2.882028276E-1,-3.507379804E0,8.868051585E0
1.113933708E0,8.698824958E0,4.063892062E0,-3.114276173E0,1.009373521E1
1.123986708E0,5.170870557E0,1.658041733E0,-6.905099756E-1,5.473920782E0
1.134039708E0,3.295519978E0,4.544052547E-1,-7.176436874E-1,3.403226193E0
1.144092708E0,2.596943768E0,9.415005380E-1,-1.556442999E0,3.170655296E0
1.154145708E0,1.868083659E0,1.726301836E0,-1.579482636E0,2.994097525E0
1.164198708E0,1.533908853E0,2.055166494E0,-1.595568327E0,3.020335076E0
1.174252708E0,1.602619484E0,1.091195398E0,-1.562068459E0,2.489810129E0
1.184305708E0,1.898844107E0,-2.505388650E-1,-1.453901986E0,2.404622559E0
1.194358708E0,2.490465971E0,-1.076238805E0,-1.174343097E0,2.956313994E0
1.204411708E0,2.881554651E0,-1.209858793E0,-4.169352005E-1,3.152927286E0
1.214464708E0,3.573919948E0,-1.492548573E-1,2.185249939E-1,3.583703947E0
1.224517708E0,5.178760205E0,1.962364165E0,-1.437755046E-1,5.539955033E0
1.234570708E0,6.151374362E0,2.736585803E0,-1.067992769E0,6.816811348E0
1.244623708E0,5.323889852E0,1.549282352E0,-8.270173180E-1,5.606071405E0
1.254677708E0,3.973474227E0,3.061549491E-1,-6.045904040E-1,4.030850759E0
1.264730708E0,2.534748105E0,-1.870073467E0,-6.560727990E-1,3.217538538E0
1.274783708E0,9.366894490E-1,-4.571813373E0,-1.294818946E-1,4.668579035E0
1.284836708E0,-1.109503908E0,-6.674731738E0,4.155627859E-1,6.779065948E0
