"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.321697375E0,8.967624678E-1,-2.556636572E-1,1.201460145E0,1.520872548E0
1.331669375E0,9.665476710E-1,-3.742093764E-1,-4.836056650E-2,1.037586527E0
1.341641375E0,9.485680676E-1,-6.802389027E-1,6.554021233E-1,1.338677813E0
1.351613375E0,1.176039009E0,-1.308502052E0,1.643714885E0,2.407705130E0
1.361585375E0,1.146658139E0,-2.101025621E0,6.846206599E-1,2.489545942E0
1.371557375E0,1.153107472E0,-3.031698285E0,8.592062402E-1,3.355456258E0
1.381529375E0,1.084350648E0,-3.650697983E0,6.266192043E-1,3.859541905E0
1.391501375E0,8.883148491E-1,-3.860770900E0,5.741030216E-1,4.003030039E0
1.401473375E0,8.313587295E-1,-3.695178337E0,6.399572879E-1,3.841229700E0
1.411445375E0,8.597966628E-1,-3.253159239E0,1.123139030E-1,3.366735771E0
1.421417375E0,9.078746626E-1,-2.675288857E0,-7.008484375E-1,2.910772303E0
1.431389375E0,7.185017663E-1,-1.981575630E0,-1.606140093E0,2.650013729E0
1.441361375E0,1.096784898E-1,-1.783670769E0,-1.885372707E0,2.597718427E0
1.451333375E0,-8.630716883E-1,-2.077664825E0,-1.736321332E0,2.841900004E0
1.461305375E0,-1.113252265E0,-1.462452662E0,-1.072759420E0,2.128123861E0
1.471277375E0,-6.623008145E-1,-7.134085491E-1,-1.470101112E-1,9.844826559E-1
1.481249375E0,1.281356645E-1,-4.964414728E-1,-1.470750153E-1,5.333891118E-1
1.491221375E0,7.548911089E-1,-5.421485728E-1,-5.435390407E-1,1.076670957E0
1.501193375E0,1.065792535E0,-5.119725546E-1,-6.884500015E-1,1.368207963E0
1.511165375E0,1.010558494E0,-5.512316376E-1,-1.115914795E0,1.603231305E0
1.521136375E0,6.851809694E-1,-6.680166140E-1,-1.516139749E0,1.792874479E0
1.531108375E0,4.490868101E-1,-7.592100817E-1,-1.870779811E0,2.068307523E0
1.541080375E0,5.338047788E-1,-6.324398151E-1,-2.070467488E0,2.229745115E0
1.551052375E0,6.681199636E-1,-4.365779713E-1,-1.707848316E0,1.885134075E0
1.561024375E0,5.008892304E-1,-4.043612748E-1,-1.481328351E0,1.615156879E0
1.570996375E0,1.405040240E-1,-4.427119929E-1,-1.253926626E0,1.337186327E0
1.580968375E0,-9.552172288E-2,-3.164673910E-1,-5.212617338E-1,6.172437154E-1
1.590940375E0,2.715203559E-1,-2.143752980E-1,-1.656475264E-1,3.835611751E-1
1.600912375E0,5.909417602E-1,-1.999294594E-1,-5.936619580E-2,6.266644220E-1
1.610884375E0,5.928768231E-1,-2.285235134E-1,-1.074232918E-1,6.444111166E-1
1.620856375E0,5.028481939E-1,-3.366695210E-1,-2.153278095E-1,6.423151392E-1
1.630828375E0,4.908149895E-1,-5.280813414E-1,-6.377259904E-1,9.625298416E-1
1.640800375E0,5.189574192E-1,-6.893326387E-1,-9.522366107E-1,1.285010059E0
1.650772375E0,5.966227687E-1,-6.352388772E-1,-1.162889571E0,1.453203122E0
1.660744375E0,5.609943681E-1,-4.257910278E-1,-1.420985670E0,1.585942292E0
1.670716375E0,6.108317951E-1,-2.808367977E-1,-1.571778345E0,1.709523897E0
1.680688375E0,5.861993759E-1,-2.013020933E-1,-1.433239095E0,1.561514183E0
1.690660375E0,5.468237872E-1,-1.345330301E-1,-1.170228412E0,1.298672370E0
1.700632375E0,4.960069516E-1,-2.027302757E-1,-7.277614170E-1,9.037472771E-1
1.710604375E0,5.176854305E-1,-3.645920223E-1,-3.695107001E-1,7.331191616E-1
1.720576375E0,4.777542832E-1,-6.391312225E-1,-1.423896414E-1,8.105631898E-1
1.730547375E0,4.550168735E-1,-8.620338075E-1,2.075615376E-1,9.966064581E-1
1.740519375E0,3.367896082E-1,-1.012484274E0,3.887252355E-1,1.135631522E0
1.750491375E0,2.587857049E-1,-1.110587397E0,7.223591745E-2,1.142625238E0
1.760463375E0,2.574609451E-1,-1.042198655E0,-2.872456384E-1,1.111293944E0
1.770435375E0,2.949983885E-1,-8.943681791E-1,-3.947291565E-1,1.021141320E0
1.780407375E0,3.511976592E-1,-7.736407176E-1,-5.337396920E-1,1.003363252E0
1.790379375E0,4.513090809E-1,-6.834564793E-1,-7.777773303E-1,1.129482280E0
1.800351375E0,5.426523104E-1,-5.610631460E-1,-8.019543976E-1,1.119104213E0
1.810323375E0,5.754130903E-1,-4.555977944E-1,-6.306233776E-1,9.676545970E-1
1.820295375E0,5.931598283E-1,-4.615631238E-1,-4.277583236E-1,8.647868423E-1
1.830267375E0,6.348423629E-1,-5.920911035E-1,-2.996873438E-1,9.183731293E-1
1.840239375E0,5.489151900E-1,-7.453980812E-1,-3.027261418E-1,9.739452255E-1
1.850211375E0,3.950865676E-1,-9.719130760E-1,-3.417861271E-1,1.103415688E0
1.860183375E0,3.066943547E-1,-1.157415700E0,-4.316133928E-1,1.272777534E0
1.870155375E0,3.673506656E-1,-1.235972458E0,-4.016873431E-1,1.350528470E0
1.880127375E0,4.806725554E-1,-1.185526482E0,-2.407421476E-1,1.301720372E0
1.890099375E0,6.295597690E-1,-1.158871072E0,-1.565773255E-1,1.328097935E0
1.900071375E0,7.871092672E-1,-1.127151681E0,-1.866904861E-1,1.387395131E0
1.910042375E0,8.839179622E-1,-1.017930079E0,-3.365540385E-1,1.389518344E0
1.920014375E0,8.757992495E-1,-9.747276333E-1,-4.854861295E-1,1.397431596E0
1.929986375E0,8.321794593E-1,-1.074383484E0,-6.149814910E-1,1.491651688E0
1.939958375E0,7.887035105E-1,-1.208344072E0,-6.556494606E-1,1.584936856E0
1.949930375E0,7.990844379E-1,-1.403752756E0,-6.384323341E-1,1.736851630E0
1.959902375E0,8.942467032E-1,-1.541273713E0,-5.229322833E-1,1.857056811E0
1.969874375E0,1.005149527E0,-1.678137736E0,-3.968189514E-1,1.995980239E0
1.979846375E0,1.036318768E0,-1.788399266E0,-3.851631117E-1,2.102541117E0
1.989818375E0,1.101837258E0,-1.892571799E0,-4.415852344E-1,2.234025710E0
1.999790375E0,1.135084160E0,-1.958287778E0,-5.379970497E-1,2.326531302E0
2.009762375E0,1.120937261E0,-1.983887181E0,-6.925950927E-1,2.381595400E0
2.019734375E0,9.981494596E-1,-2.105725029E0,-8.459663898E-1,2.479120685E0
2.029706375E0,7.409204297E-1,-2.394297108E0,-9.414385575E-1,2.677298691E0
2.039678375E0,8.491143114E-1,-2.065767203E0,-1.055971479E0,2.470519179E0
2.049650375E0,6.235536553E-1,-1.983008344E0,-1.018143502E0,2.314683012E0
2.059622375E0,4.768777855E-1,-2.167406722E0,-1.020790536E0,2.442760250E0
2.069594375E0,6.675888902E-1,-2.081450897E0,-7.586861712E-1,2.313810163E0
2.079565375E0,7.015582895E-1,-1.987393756E0,-4.358590561E-1,2.152182867E0
2.089537375E0,7.040962004E-1,-2.024576785E0,-2.747454607E-1,2.161052449E0
2.099509375E0,6.908841243E-1,-2.098570083E0,-2.821035969E-1,2.227307726E0
2.109481375E0,6.062291593E-1,-2.089523271E0,-4.385990614E-1,2.219457238E0
2.119453375E0,5.721186959E-1,-2.003790518E0,-5.919241655E-1,2.166303409E0
2.129425375E0,5.556520595E-1,-1.893562902E0,-5.657912046E-1,2.052912409E0
2.139397375E0,5.026042919E-1,-1.848236455E0,-5.230094665E-1,1.985479280E0
2.149369375E0,5.590181554E-1,-1.778008472E0,-4.005313486E-1,1.906368481E0
2.159341375E0,5.522440830E-1,-1.691304496E0,-2.035018158E-1,1.790781230E0
2.169313375E0,5.098840754E-1,-1.689975424E0,-9.134988070E-2,1.767581258E0
2.179285208E0,5.592703897E-1,-1.669256108E0,1.572491705E-2,1.760524523E0
2.189257208E0,5.148721889E-1,-1.597983519E0,1.012246585E-1,1.681930774E0
2.199229208E0,4.947310160E-1,-1.584912946E0,2.005419552E-1,1.672400939E0
2.209201208E0,5.025301784E-1,-1.636262901E0,2.481944239E-1,1.729593401E0
2.219173208E0,4.375353067E-1,-1.647040197E0,3.245859575E-1,1.734801025E0
2.229144208E0,3.185370860E-1,-1.581465135E0,3.457926393E-1,1.649869812E0
2.239116208E0,2.269031037E-1,-1.468660066E0,2.775585562E-1,1.511782445E0
2.249088208E0,1.756261653E-1,-1.323780095E0,3.195555979E-1,1.373081961E0
2.259060208E0,1.677370289E-1,-1.246888917E0,4.343785411E-1,1.330996769E0
2.269032208E0,1.139526583E-1,-1.206644578E0,6.258514649E-1,1.364062463E0
2.279004208E0,2.209962465E-2,-1.216055672E0,9.518150264E-1,1.544419514E0
2.288976208E0,-4.625037946E-2,-1.230521099E0,1.163714029E0,1.694270230E0
2.298948208E0,-1.915378278E-1,-1.252072474E0,1.069731731E0,1.657919840E0
2.308920208E0,-3.678510410E-1,-1.176259522E0,9.395662791E-1,1.549737282E0
2.318892208E0,-4.257940245E-1,-9.992648891E-1,9.100442719E-1,1.417043206E0
2.328864208E0,-5.955134057E-1,-8.316436350E-1,8.481427234E-1,1.328763873E0
2.338836208E0,-7.613150793E-1,-6.282289428E-1,9.196746361E-1,1.349101068E0
2.348808208E0,-7.686178131E-1,-4.654550305E-1,9.914380985E-1,1.338047545E0
2.358780208E0,-7.752352533E-1,-3.265398046E-1,1.105040728E0,1.388788304E0
2.368752208E0,-8.119291627E-1,-2.647478914E-1,1.255319433E0,1.518271151E0
2.378723208E0,-9.052220732E-1,-2.573017547E-1,1.389320658E0,1.678047403E0
2.388695208E0,-9.563161399E-1,-2.681793299E-1,1.317374178E0,1.649828912E0
2.398667208E0,-9.554677089E-1,-2.225842041E-1,1.122471278E0,1.490772967E0
2.408639208E0,-1.055868787E0,-1.818060145E-1,8.554885805E-1,1.371048152E0
2.418611208E0,-1.326954987E0,-1.271208072E-1,6.470394355E-1,1.481765592E0
2.428583208E0,-1.491083553E0,-2.830549389E-2,5.532237840E-1,1.590656443E0
2.438555208E0,-1.366727602E0,3.139185897E-1,5.488114750E-1,1.505882882E0
2.448527208E0,-1.338934178E0,5.078096294E-1,5.550867069E-1,1.535817894E0
2.458499208E0,-1.256769396E0,4.275370064E-1,5.482384479E-1,1.436252973E0
2.468471208E0,-1.033877628E0,3.444974810E-1,5.240789223E-1,1.209231236E0
2.478443208E0,-8.748055883E-1,1.624219099E-1,3.433800781E-1,9.537167148E-1
2.488415208E0,-7.681778102E-1,-2.422238320E-2,1.783494329E-1,7.889818706E-1
2.498387208E0,-6.539616618E-1,-9.149810761E-2,1.019222313E-1,6.681511056E-1
2.508359208E0,-5.242251027E-1,-8.836546183E-2,1.137803847E-1,5.436601779E-1
2.518330208E0,-4.703554358E-1,-1.338755107E-1,1.671204400E-1,5.168037633E-1
2.528302208E0,-5.742863318E-1,-2.750556555E-1,1.509593207E-1,6.544074580E-1
2.538274208E0,-6.525350873E-1,-4.217935789E-1,9.537393451E-2,7.828205738E-1
2.548246208E0,-7.321773805E-1,-5.499864730E-1,-1.158976614E-2,9.158073813E-1
2.558218208E0,-8.518945163E-1,-6.198469591E-1,-4.126789391E-2,1.054342240E0
2.568190208E0,-9.434237603E-1,-6.895466468E-1,-1.100475222E-1,1.173726300E0
2.578162208E0,-9.647806424E-1,-6.862599269E-1,-1.550441855E-1,1.194065775E0
2.588134208E0,-9.183252449E-1,-6.792037994E-1,-1.663924617E-1,1.154264055E0
2.598106208E0,-8.146348156E-1,-6.857634982E-1,-2.187671417E-1,1.087088092E0
2.608078208E0,-6.993389057E-1,-3.977431038E-1,-7.405849457E-2,8.079351102E-1
2.618050208E0,-5.996921184E-1,-1.283756196E-1,-2.205786091E-1,6.517406381E-1
2.628022208E0,-5.273879347E-1,-1.065660900E-1,-4.698009735E-1,7.142879811E-1
2.637994208E0,-4.406819858E-1,-1.688485846E-1,-6.441918415E-1,7.985571900E-1
2.647965208E0,-4.008339420E-1,-1.580081391E-1,-7.671751589E-1,8.798818929E-1
2.657937208E0,-4.647263213E-1,-9.904335469E-2,-8.953303385E-1,1.013605720E0
2.667909208E0,-4.724140211E-1,-9.334875137E-2,-9.557478637E-1,1.070206978E0
2.677881208E0,-3.561871614E-1,-1.509718922E-1,-9.999797112E-1,1.072203912E0
2.687853208E0,-3.606272446E-1,-2.576943952E-1,-1.149148030E0,1.231665379E0
2.697825208E0,-5.338110280E-1,-8.228719345E-1,-1.764110810E0,2.018454702E0
2.707797208E0,-3.025202467E-1,-6.447154596E-1,-1.468051078E0,1.631671074E0
2.717769208E0,-5.171017322E-1,-2.037316114E-1,-1.132208061E0,1.261267563E0
2.727741208E0,-6.417553067E-1,-8.415751308E-2,-1.236833460E0,1.395954644E0
2.737713208E0,-4.075551702E-1,3.003042251E-2,-1.216037253E0,1.282867742E0
2.747685208E0,-2.706987490E-1,1.854631555E-1,-1.053596340E0,1.103512411E0
2.757657208E0,-2.255502773E-1,1.365029570E-1,-1.029027509E0,1.062263432E0
2.767629208E0,-2.349403209E-1,-2.557075113E-2,-9.104565006E-1,9.406284374E-1
2.777600208E0,-2.666881438E-1,-2.203894517E-1,-7.134474331E-1,7.929068774E-1
2.787572208E0,-2.813493061E-1,-2.630428433E-1,-4.315864956E-1,5.784599145E-1
2.797544208E0,-2.694957574E-1,-1.280493450E-1,-2.300277096E-1,3.767457302E-1
2.807516208E0,-2.685224153E-1,-1.401226759E-2,-9.437113702E-2,2.849676169E-1
2.817488208E0,-3.054382266E-1,7.818604410E-3,-9.125106275E-2,3.188736385E-1
2.827460208E0,-3.469910261E-1,-1.662275702E-2,-3.744147599E-2,3.494008477E-1
2.837432208E0,-4.860363525E-1,-4.361935169E-2,-1.226254678E-1,5.031609973E-1
2.847404208E0,-6.847952724E-1,1.752118170E-3,-3.930118293E-1,7.895605949E-1
2.857376208E0,-7.995950460E-1,1.681366861E-1,-6.118467987E-1,1.020773573E0
2.867348208E0,-6.916306675E-1,4.120015392E-1,-5.951512438E-1,1.001150963E0
2.877320208E0,-4.840133621E-1,6.523922691E-1,-3.920125401E-1,9.019747441E-1
2.887292208E0,-5.149426478E-1,7.354133758E-1,-2.690444255E-1,9.372212475E-1
2.897263208E0,-5.193287905E-1,6.815643203E-1,-8.240422547E-2,8.608267954E-1
2.907235208E0,-3.945370755E-1,9.019356456E-1,2.698484176E-1,1.020767153E0
2.917207208E0,-4.800742391E-1,1.091514364E0,5.113273144E-1,1.297432273E0
2.927179208E0,-4.787593465E-1,1.228292140E0,7.083574319E-1,1.496556830E0
2.937151208E0,-6.536119983E-2,1.168283335E0,8.072396958E-1,1.421546329E0
2.947123208E0,2.236453275E-1,7.937548470E-1,1.035993882E0,1.324140216E0
2.957095208E0,2.161262468E-1,2.946882668E-1,1.468556862E0,1.513344306E0
2.967067208E0,1.940873601E-1,-7.070131570E-2,2.079691470E0,2.089924685E0
2.977039208E0,2.231079684E-1,-3.955495209E-1,2.595227026E0,2.634661250E0
