"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.144378750E0,1.424274583E0,-1.150915643E0,1.297856757E0,2.244459192E0
2.154425750E0,1.292994066E0,-1.287436873E0,1.408758557E0,2.305195877E0
2.164473750E0,1.050518658E0,-1.377648885E0,1.120280326E0,2.063136910E0
2.174520750E0,8.025898437E-1,-1.314483607E0,5.372316492E-1,1.631145443E0
2.184568750E0,6.600190117E-1,-1.260656917E0,5.145549774E-2,1.423913139E0
2.194615750E0,6.351521923E-1,-1.230052298E0,-3.311991584E-1,1.423425392E0
2.204663750E0,7.376683545E-1,-1.168912934E0,-5.362317753E-1,1.482584421E0
2.214710750E0,8.258608849E-1,-1.127579844E0,-5.111314327E-1,1.488199532E0
2.224758750E0,7.650384401E-1,-1.192710956E0,-3.856893611E-1,1.468536524E0
2.234806750E0,6.944143076E-1,-1.382899246E0,-2.585644609E-1,1.568909537E0
2.244853750E0,5.823654662E-1,-1.553053368E0,-1.049376404E-1,1.661967571E0
2.254901750E0,4.397561157E-1,-1.726240586E0,-5.831895947E-2,1.782328001E0
2.264948750E0,2.553859510E-1,-1.837213869E0,-1.198848778E-1,1.858749356E0
2.274996750E0,7.964052072E-2,-1.860077213E0,-1.867758554E-1,1.871126685E0
2.285043750E0,1.490786003E-2,-1.847964998E0,-2.446732306E-1,1.864151783E0
2.295091750E0,8.346834563E-2,-1.696494777E0,-2.578452533E-1,1.718006306E0
2.305138750E0,2.328947639E-1,-1.536096881E0,-2.263129735E-1,1.570048140E0
2.315186750E0,2.333207153E-1,-1.491399303E0,-2.297277474E-1,1.526920193E0
2.325234750E0,5.433938105E-2,-1.586717396E0,-2.246652281E-1,1.603464789E0
2.335281750E0,-2.194159451E-1,-1.744505973E0,-2.045303410E-1,1.770106524E0
2.345329750E0,-3.906661456E-1,-1.918887777E0,-1.887984073E-1,1.967331995E0
